Date start:22/06/2018;Date stop:31/12/2018
Data;Pescina Wind.L1.WTG4.Status.WTG Event;Pescina Wind.L1.WTG5.Status.WTG Event;Pescina Wind.L1.WTG6.Status.WTG Event;Pescina Wind.L1.WTG8.Status.WTG Event;Pescina Wind.L2.WTG10.Status.WTG Event;Pescina Wind.L2.WTG11.Status.WTG Event;Pescina Wind.L2.WTG7.Status.WTG Event;Pescina Wind.L2.WTG9.Status.WTG Event;
2018/06/22 14:58:15;null;;;;;;;;
2018/06/22 14:58:17;;null;;;;;;;
2018/06/22 14:58:17;;;null;;;;;;
2018/06/22 14:58:17;;;;null;;;;;
2018/06/22 14:58:17;;;;;;;null;;
2018/06/22 14:58:17;;;;;;;;null;
2018/06/22 14:58:21;;;;;null;;;;
2018/06/22 14:58:21;;;;;;null;;;
2018/06/22 15:01:49;0;0;0;;;;;;
2018/06/22 15:01:49;;;;0;;;;;
2018/06/22 15:01:49;;;;;0;0;0;0;
2018/06/22 15:26:15;0;0;0;0;;;;;
2018/06/22 15:26:27;;;;;0;0;0;0;
2018/06/23 00:00:11;null;null;null;null;null;null;null;null;
2018/06/23 00:00:28;0;0;0;0;;;;;
2018/06/23 00:00:33;;;;;0;0;0;0;
2018/06/24 00:00:10;null;null;null;null;null;null;null;null;
2018/06/24 00:00:33;;;;;0;0;0;0;
2018/06/24 00:00:33;0;0;0;0;;;;;
2018/06/25 10:22:04;;;;;;;0;;
2018/06/25 10:22:06;;;;;0;0;;0;
2018/06/25 10:22:06;0;0;0;0;;;;;
2018/06/25 14:12:53;;;;;;null;;;
2018/06/25 14:31:59;;;;;;0;;;
2018/06/26 00:00:12;null;null;null;null;null;null;null;null;
2018/06/26 00:00:29;;;;;0;0;0;0;
2018/06/26 00:00:34;0;0;0;0;;;;;
2018/06/26 11:04:20;null;;;;;;;;
2018/06/26 11:04:20;;null;;;;;;;
2018/06/26 11:04:22;;;null;;;;;;
2018/06/26 11:04:22;;;;null;;;;;
2018/06/26 11:04:22;;;;;;;null;;
2018/06/26 11:04:22;;;;;;;;null;
2018/06/26 11:04:22;;;;;null;;;;
2018/06/26 11:04:25;;;;;;null;;;
2018/06/26 11:08:16;0;0;0;0;;;;;
2018/06/26 11:08:16;;;;;0;0;0;0;
2018/06/26 15:54:59;0;0;0;0;0;0;0;0;
2018/06/26 16:06:07;0;0;0;0;;;;;
2018/06/26 16:06:07;;;;;;;0;0;
2018/06/26 16:06:10;;;;;0;0;;;
2018/06/26 17:01:01;87;;;;;;;;
2018/06/26 17:18:22;0;;;;;;;;
2018/06/26 19:38:10;;;;356;;;;;
2018/06/26 19:39:11;;;;0;;;;;
2018/06/26 23:42:43;;;;;;338;;;
2018/06/26 23:42:53;;;;;;916;;;
2018/06/26 23:43:53;;;;;;102;;;
2018/06/27 00:00:38;null;null;null;null;null;null;null;null;
2018/06/27 00:00:56;0;0;0;0;;;;;
2018/06/27 00:00:59;;;;;0;102;0;0;
2018/06/27 00:39:08;;;338;;;;;;
2018/06/27 00:39:18;;;916;;;;;;
2018/06/27 00:40:18;;;102;;;;;;
2018/06/27 01:22:36;;;;338;;;;;
2018/06/27 01:23:41;;;;0;;;;;
2018/06/27 03:56:16;356;;;;;;;;
2018/06/27 03:57:21;0;;;;;;;;
2018/06/27 05:43:23;356;;;;;;;;
2018/06/27 05:44:23;0;;;;;;;;
2018/06/27 07:34:40;;;null;;;;;;
2018/06/27 07:37:21;;;0;;;;;;
2018/06/27 07:45:41;;;;;;null;;;
2018/06/27 07:50:42;;;;;;0;;;
2018/06/27 13:03:12;;;338;;;;;;
2018/06/27 13:04:12;;;0;;;;;;
2018/06/27 15:04:29;;;356;;;;;;
2018/06/27 15:05:29;;;83;;;;;;
2018/06/27 15:05:39;;;0;;;;;;
2018/06/27 15:09:44;;;;;;356;;;
2018/06/27 15:10:44;;;;;;191;;;
2018/06/27 15:10:54;;;;;;0;;;
2018/06/28 00:00:38;null;null;null;null;null;null;null;null;
2018/06/28 00:01:00;0;0;0;0;;;;;
2018/06/28 00:01:00;;;;;0;0;0;0;
2018/06/28 04:30:05;;;;180;;;;;
2018/06/28 07:12:32;;;;null;;;;;
2018/06/28 08:12:25;null;;;;;;;;
2018/06/28 08:59:44;0;;;;;;;;
2018/06/28 09:04:05;;null;;;;;;;
2018/06/28 09:25:30;;0;;;;;;;
2018/06/28 09:50:16;;;;0;;;;;
2018/06/28 10:07:25;;;null;;;;;;
2018/06/28 10:28:54;;;0;;;;;;
2018/06/28 10:51:03;;;;;;;null;;
2018/06/28 11:47:40;;;;;;;0;;
2018/06/28 13:19:56;;;;null;;;;;
2018/06/28 14:02:34;;;;900;;;;;
2018/06/28 14:05:20;;;;0;;;;;
2018/06/28 14:06:09;;;;;;;;null;
2018/06/28 14:29:51;;;;;;;;0;
2018/06/28 14:36:32;;;;;null;;;;
2018/06/28 15:02:44;;;;;0;;;;
2018/06/28 15:57:24;;;;;;null;;;
2018/06/28 16:44:42;;;;;;0;;;
2018/06/29 00:00:46;null;null;null;null;null;null;null;null;
2018/06/29 00:01:07;0;0;0;0;;;;;
2018/06/29 00:01:07;;;;;0;0;0;0;
2018/06/29 07:12:07;;;;;;null;;;
2018/06/29 09:19:01;;;;;;;null;;
2018/06/29 11:19:12;;;;;;;0;;
2018/06/29 13:56:42;;;;;;0;;;
2018/06/29 14:32:31;;;;;;;0;;
2018/06/29 14:32:40;;;;;0;;;0;
2018/06/29 14:32:40;0;0;0;0;;;;;
2018/06/29 14:32:40;;;;;;0;;;
2018/06/30 00:00:37;null;null;null;null;null;null;null;null;
2018/06/30 00:00:54;0;0;0;0;;;;;
2018/06/30 00:00:56;;;;;0;0;0;0;
2018/06/30 04:04:46;275;;;;;;;;
2018/06/30 04:31:29;0;;;;;;;;
2018/07/01 00:00:37;null;null;null;null;null;null;null;null;
2018/07/01 00:00:53;;;;;0;0;0;0;
2018/07/01 00:00:54;0;0;;0;;;;;
2018/07/01 00:00:59;;;0;;;;;;
2018/07/01 12:20:43;;null;;;;;;;
2018/07/01 12:25:04;;30;;;;;;;
2018/07/01 12:26:00;;0;;;;;;;
2018/07/02 00:00:37;null;null;null;null;null;null;null;null;
2018/07/02 00:00:56;;;;;0;0;0;0;
2018/07/02 00:00:57;0;0;0;0;;;;;
2018/07/02 07:38:01;;;;null;;;;;
2018/07/02 14:46:01;;;;0;;;;;
2018/07/03 00:00:37;null;null;null;null;null;null;null;null;
2018/07/03 00:00:57;;;;;0;0;0;0;
2018/07/03 00:00:58;0;0;0;0;;;;;
2018/07/03 07:26:56;;;;null;;;;;
2018/07/03 08:58:45;;;null;;;;;;
2018/07/03 09:31:58;;;0;;;;;;
2018/07/03 14:44:21;;;;0;;;;;
2018/07/03 16:47:57;0;0;0;;;;;;
2018/07/03 16:47:57;;;;;;;0;0;
2018/07/03 16:47:57;;;;;0;0;;;
2018/07/03 16:48:07;;;;0;;;;;
2018/07/03 18:33:07;null;null;null;null;null;null;null;null;
2018/07/03 18:35:14;;;;;0;0;0;0;
2018/07/03 18:35:14;0;0;;;;;;;
2018/07/03 18:35:14;;;0;;;;;;
2018/07/03 18:35:15;;;;0;;;;;
2018/07/04 00:00:37;null;null;null;null;null;null;null;null;
2018/07/04 00:00:53;;;;;0;0;0;0;
2018/07/04 00:00:54;;;;0;;;;;
2018/07/04 00:00:59;0;0;0;;;;;;
2018/07/04 14:27:29;0;;;0;0;0;0;0;
2018/07/04 14:27:29;;0;0;;;;;;
2018/07/04 14:48:59;0;0;0;0;;;;;
2018/07/04 14:49:06;;;;;0;0;0;0;
2018/07/04 14:56:43;0;0;0;0;;;;;
2018/07/04 14:56:49;;;;;0;0;0;0;
2018/07/05 00:00:37;null;null;null;null;null;null;null;null;
2018/07/05 00:00:59;;;;;0;0;0;0;
2018/07/05 00:01:00;0;0;0;0;;;;;
2018/07/05 07:20:38;;;;null;;;;;
2018/07/05 13:46:48;0;0;;;0;0;0;0;
2018/07/05 13:46:48;;;0;;;;;;
2018/07/05 14:45:00;;;;0;;;;;
2018/07/05 16:26:33;;;;;;;182;;
2018/07/05 16:31:49;;;;;;;0;;
2018/07/05 16:32:14;;;;;;;309;;
2018/07/05 16:33:05;;;;;;;0;;
2018/07/06 00:00:37;null;null;null;;;;null;;
2018/07/06 00:00:37;;;;null;null;null;;null;
2018/07/06 00:00:57;;;;;0;0;0;0;
2018/07/06 00:00:57;0;0;0;0;;;;;
2018/07/06 07:30:27;;;;900;;;;;
2018/07/06 07:34:18;;;;null;;;;;
2018/07/06 14:09:23;;;;0;;;;;
2018/07/06 15:51:08;null;null;null;null;null;null;null;null;
2018/07/06 17:34:14;;;;;;;0;0;
2018/07/06 17:34:14;0;0;0;;0;0;;;
2018/07/06 17:34:17;;;;0;;;;;
2018/07/07 00:00:37;null;null;null;null;null;null;null;null;
2018/07/07 00:00:55;0;0;0;0;;;;;
2018/07/07 00:00:56;;;;;0;0;0;0;
2018/07/08 00:00:37;null;null;null;null;null;null;null;null;
2018/07/08 00:00:55;;;;;0;0;0;0;
2018/07/08 00:00:59;0;0;0;0;;;;;
2018/07/09 00:00:47;null;null;null;null;null;null;null;null;
2018/07/09 00:01:08;;;;;0;0;0;0;
2018/07/09 00:01:09;;0;;;;;;;
2018/07/09 00:01:14;0;;0;0;;;;;
2018/07/09 07:37:44;;;;null;;;;;
2018/07/09 08:20:40;;;null;;;;;;
2018/07/09 11:59:30;;;0;;;;;;
2018/07/09 13:58:41;;;;0;;;;;
2018/07/10 00:00:47;null;null;;;;;;;
2018/07/10 00:00:47;;;null;null;null;null;null;null;
2018/07/10 00:01:06;0;0;0;0;;;;;
2018/07/10 00:01:07;;;;;0;0;0;0;
2018/07/10 07:27:46;;;;;;;;null;
2018/07/10 12:35:36;;171;;;;;;;
2018/07/10 12:36:36;;0;;;;;;;
2018/07/10 14:45:10;;;;;;;;0;
2018/07/11 00:00:47;null;null;null;null;null;null;null;null;
2018/07/11 00:01:06;0;0;0;0;;;;;
2018/07/11 00:01:08;;;;;0;0;0;0;
2018/07/11 07:27:31;;;;;;;;null;
2018/07/11 12:54:26;;;;;;;;0;
2018/07/11 18:43:50;;;;;;;0;;
2018/07/11 18:43:50;;;;;0;0;;0;
2018/07/11 18:43:58;0;0;0;0;;;;;
2018/07/11 19:27:27;;;;;;;0;0;
2018/07/11 19:27:27;0;0;0;0;0;0;;;
2018/07/11 20:15:59;;;;;0;0;0;0;
2018/07/11 20:16:03;0;0;0;0;;;;;
2018/07/12 00:00:37;null;null;null;null;null;null;null;null;
2018/07/12 00:00:53;0;0;0;0;;;;;
2018/07/12 00:00:53;;;;;0;0;0;0;
2018/07/12 07:46:20;null;;;;;;;;
2018/07/12 12:16:56;0;;;;;;;;
2018/07/12 13:37:24;0;0;0;0;;;;;
2018/07/12 13:37:27;;;;;0;0;0;0;
2018/07/13 00:00:37;null;null;null;null;null;null;null;null;
2018/07/13 00:00:56;0;0;0;0;;;;;
2018/07/13 00:00:57;;;;;0;0;0;0;
2018/07/13 07:36:41;;;;;;;;null;
2018/07/13 09:31:34;;null;;;;;;;
2018/07/13 09:38:51;;0;;;;;;;
2018/07/13 09:40:52;;;null;;;;;;
2018/07/13 09:43:27;;;0;;;;;;
2018/07/13 09:49:24;;;;null;;;;;
2018/07/13 09:53:14;null;;;;;;;;
2018/07/13 09:53:14;;null;;;;;;;
2018/07/13 09:53:14;;;null;;;;;;
2018/07/13 09:53:15;;;;;;;null;;
2018/07/13 09:53:15;;;;;null;null;;;
2018/07/13 09:53:22;;;;;0;0;0;;
2018/07/13 09:53:22;0;0;0;0;;;;;
2018/07/13 09:55:27;;;;;null;;;;
2018/07/13 09:58:03;;;;;0;;;;
2018/07/13 09:59:33;;;;;;;null;;
2018/07/13 10:02:14;;;;;;;0;;
2018/07/13 10:08:12;0;0;0;;;0;;;
2018/07/13 10:08:12;;;;0;;;;;
2018/07/13 10:08:32;;;;;0;;;;
2018/07/13 10:08:32;;;;;;;0;;
2018/07/13 11:46:07;;;;;;;;0;
2018/07/13 16:45:39;;82;;;;;;;
2018/07/13 16:46:34;;915;;;;;;;
2018/07/13 16:46:44;;0;;;;;;;
2018/07/14 00:00:47;null;null;null;null;null;null;null;null;
2018/07/14 00:01:06;0;0;0;0;;;;;
2018/07/14 00:01:08;;;;;0;0;0;0;
2018/07/14 10:18:09;275;;;;;;;;
2018/07/14 10:44:45;0;;;;;;;;
2018/07/15 00:00:47;null;null;null;null;null;null;null;null;
2018/07/15 00:01:07;0;0;0;0;;;;;
2018/07/15 00:01:07;;;;;0;0;0;0;
2018/07/15 00:11:04;;;;;;;;171;
2018/07/15 00:12:04;;;;;;;;0;
2018/07/15 04:24:53;;;;;276;;;;
2018/07/15 04:51:54;;;;;0;;;;
2018/07/16 00:00:47;null;null;null;null;null;null;null;null;
2018/07/16 00:01:10;;;;;0;0;0;0;
2018/07/16 00:01:11;0;0;0;0;;;;;
2018/07/17 00:00:37;null;null;null;null;null;null;null;null;
2018/07/17 00:00:56;;;;;0;0;0;0;
2018/07/17 00:00:57;0;0;0;0;;;;;
2018/07/17 04:17:44;275;;;;;;;;
2018/07/17 04:44:20;0;;;;;;;;
2018/07/17 04:53:47;;275;;;;;;;
2018/07/17 05:20:33;;0;;;;;;;
2018/07/17 06:39:26;;;275;;;;;;
2018/07/17 07:06:32;;;0;;;;;;
2018/07/17 10:37:45;;;;;;309;;;
2018/07/17 10:39:15;;;;;;0;;;
2018/07/17 22:14:34;;;;;;171;;;
2018/07/17 22:15:34;;;;;;0;;;
2018/07/18 00:00:48;null;null;null;null;null;;null;null;
2018/07/18 00:00:48;;;;;;null;;;
2018/07/18 00:01:07;;;;;0;0;0;0;
2018/07/18 00:01:07;0;0;0;0;;;;;
2018/07/18 07:24:22;;;;;null;;;;
2018/07/18 14:46:29;;;;;0;;;;
2018/07/18 15:35:34;null;null;null;null;null;null;null;null;
2018/07/18 16:00:12;0;0;0;0;;0;0;0;
2018/07/18 16:00:15;;;;;0;;;;
2018/07/19 00:00:38;null;null;null;null;null;null;null;null;
2018/07/19 00:01:00;0;0;0;0;;;;;
2018/07/19 00:01:00;;;;;0;0;0;0;
2018/07/19 07:22:21;;;;;null;;;;
2018/07/19 13:43:22;;;;;0;;;;
2018/07/19 14:43:46;;309;;;;;;;
2018/07/19 14:43:51;;;309;;;;;;
2018/07/19 14:46:11;;;;;309;;;;
2018/07/19 14:48:17;309;;;;;;;;
2018/07/19 14:52:07;;;;;0;;;;
2018/07/19 14:52:08;0;;;;;;;;
2018/07/19 14:52:13;;;0;;;;;;
2018/07/19 14:52:43;;0;;;;;;;
2018/07/19 17:19:30;;;;;276;;;;
2018/07/19 17:46:36;;;;;0;;;;
2018/07/20 00:00:37;null;null;null;null;;;null;null;
2018/07/20 00:00:37;;;;;null;null;;;
2018/07/20 00:00:56;;;;;0;0;0;0;
2018/07/20 00:00:56;0;0;0;0;;;;;
2018/07/20 07:21:33;;;;;null;;;;
2018/07/20 08:41:29;;;;;;;275;;
2018/07/20 09:08:20;;;;;;;0;;
2018/07/20 12:06:13;;;;;0;;;;
2018/07/21 00:00:37;null;null;null;null;null;null;null;null;
2018/07/21 00:00:56;;;;;0;0;0;0;
2018/07/21 00:00:58;0;0;0;0;;;;;
2018/07/22 00:00:38;null;null;null;null;null;null;null;null;
2018/07/22 00:00:55;;;;;0;0;0;0;
2018/07/22 00:00:56;0;0;0;0;;;;;
2018/07/23 00:00:47;null;null;null;null;null;null;null;null;
2018/07/23 00:01:10;;;;;0;0;0;0;
2018/07/23 00:01:11;0;0;0;0;;;;;
2018/07/23 07:19:35;null;null;null;null;null;null;null;null;
2018/07/23 07:20:04;;;;;0;0;0;0;
2018/07/23 07:20:06;0;0;0;0;;;;;
2018/07/24 00:00:37;null;null;null;null;null;null;null;null;
2018/07/24 00:01:08;;;;;0;0;0;0;
2018/07/24 00:01:09;0;0;0;0;;;;;
2018/07/24 15:11:23;;;;;;;309;;
2018/07/24 15:11:23;;309;;;;;;;
2018/07/24 15:13:34;;0;;;;;;;
2018/07/24 15:13:48;;;;;;;0;;
2018/07/24 16:59:09;0;;0;;0;0;;0;
2018/07/24 16:59:09;;;;0;;;;;
2018/07/24 16:59:20;;0;;;;;0;;
2018/07/25 00:00:38;null;null;null;null;null;null;null;null;
2018/07/25 00:01:00;;;;;0;0;0;0;
2018/07/25 00:01:04;0;0;0;0;;;;;
2018/07/25 15:14:16;;;;;;;;0;
2018/07/25 15:14:16;0;0;0;0;0;;;;
2018/07/25 15:14:16;;;;;;;0;;
2018/07/25 15:14:26;;;;;;0;;;
2018/07/25 15:56:00;;;;;309;;;;
2018/07/25 15:56:08;309;;;;;;;;
2018/07/25 15:57:38;0;;;;;;;;
2018/07/25 16:00:51;;;;;0;;;;
2018/07/25 16:24:45;;;;;;;;0;
2018/07/25 16:24:54;;0;0;0;;;;;
2018/07/25 16:24:54;;;;;;0;0;;
2018/07/25 16:25:05;0;;;;;;;;
2018/07/25 16:25:05;;;;;0;;;;
2018/07/25 16:42:50;;;309;;;;;;
2018/07/25 16:42:52;;;;;309;309;;;
2018/07/25 16:44:51;309;;;;;;;;
2018/07/25 16:45:42;;;;;;0;;;
2018/07/25 16:45:46;0;;0;;;;;;
2018/07/25 16:45:58;;;;;0;;;;
2018/07/26 00:00:37;null;null;null;null;null;null;null;null;
2018/07/26 00:00:57;;;;;0;0;0;0;
2018/07/26 00:00:58;0;0;0;0;;;;;
2018/07/26 07:23:12;;;;;;null;;;
2018/07/26 14:35:52;;;;;;0;;;
2018/07/26 15:46:45;;;275;;;;;;
2018/07/26 16:13:32;;;0;;;;;;
2018/07/26 16:17:43;;275;;;;;;;
2018/07/26 16:19:03;275;;;;;;;;
2018/07/26 16:48:42;;0;;;;;;;
2018/07/26 16:52:18;0;;;;;;;;
2018/07/27 00:00:37;null;null;null;null;null;null;null;null;
2018/07/27 00:00:56;;;;;0;0;0;0;
2018/07/27 00:00:57;0;0;0;0;;;;;
2018/07/27 07:36:40;;;;;;null;;;
2018/07/27 12:47:11;;;;;;0;;;
2018/07/27 15:29:31;;356;;;;;;;
2018/07/27 15:30:32;;0;;;;;;;
2018/07/27 21:34:57;;;275;;;;;;
2018/07/27 22:01:35;;;0;;;;;;
2018/07/27 22:19:40;null;null;null;null;null;null;null;null;
2018/07/27 22:20:20;0;;;0;0;;0;0;
2018/07/27 22:20:23;;;;;;0;;;
2018/07/27 22:20:23;;0;;;;;;;
2018/07/27 22:20:25;;;0;;;;;;
2018/07/28 00:00:37;null;null;null;null;null;null;null;null;
2018/07/28 00:00:55;;;;;0;0;0;0;
2018/07/28 00:00:57;0;0;0;0;;;;;
2018/07/28 19:12:24;null;null;null;null;null;null;null;null;
2018/07/28 20:12:26;;;;;0;0;0;0;
2018/07/28 20:12:26;0;0;;;;;;;
2018/07/28 20:12:26;;;0;0;;;;;
2018/07/29 00:00:37;null;null;null;null;null;null;null;null;
2018/07/29 00:00:59;0;0;0;0;;;;;
2018/07/29 00:01:00;;;;;0;0;0;0;
2018/07/29 09:37:39;275;;;;;;;;
2018/07/29 10:04:16;0;;;;;;;;
2018/07/29 17:23:50;;275;;;;;;;
2018/07/29 17:50:48;;0;;;;;;;
2018/07/29 19:44:01;;;275;;;;;;
2018/07/29 20:10:53;;;0;;;;;;
2018/07/29 20:17:39;;;;;;;;275;
2018/07/29 20:21:20;;;;;275;;;;
2018/07/29 20:44:50;;;;;;;;0;
2018/07/29 20:48:26;;;;;0;;;;
2018/07/30 00:00:47;null;null;null;null;null;null;null;null;
2018/07/30 00:01:07;0;0;0;0;;;;;
2018/07/30 00:01:07;;;;;0;0;0;0;
2018/07/30 19:41:56;null;null;null;null;null;null;null;null;
2018/07/30 19:42:25;0;0;0;;;;;;
2018/07/30 19:42:25;;;;0;0;0;0;0;
2018/07/30 19:53:02;;;;275;;;;;
2018/07/30 20:19:54;;;;0;;;;;
2018/07/31 00:00:47;null;;;;;;;;
2018/07/31 00:00:47;;null;null;null;null;null;null;null;
2018/07/31 00:01:08;;;;;0;0;0;0;
2018/07/31 00:01:09;0;0;0;0;;;;;
2018/08/01 00:00:47;null;null;null;null;null;null;null;null;
2018/08/01 00:01:08;;;;;0;0;0;0;
2018/08/01 00:01:09;0;0;0;0;;;;;
2018/08/01 03:30:15;;275;;;;;;;
2018/08/01 03:56:22;;0;;;;;;;
2018/08/02 00:00:38;null;null;null;null;null;null;null;null;
2018/08/02 00:00:55;0;0;0;0;;;;;
2018/08/02 00:00:57;;;;;0;0;0;0;
2018/08/02 09:26:05;null;null;null;null;null;null;null;null;
2018/08/02 13:28:18;0;0;;;0;0;;0;
2018/08/02 13:28:18;;;0;0;;;;;
2018/08/02 13:28:19;;;;;;;0;;
2018/08/02 19:39:33;null;null;null;null;null;null;null;null;
2018/08/03 08:01:46;0;0;0;0;;;;;
2018/08/03 08:01:46;;;;;0;0;0;0;
2018/08/03 09:10:15;null;null;null;null;null;null;null;null;
2018/08/03 09:17:53;0;0;0;0;0;0;0;0;
2018/08/04 00:00:37;null;null;null;null;null;null;null;null;
2018/08/04 00:00:56;0;0;0;0;;;;;
2018/08/04 00:00:58;;;;;0;0;0;0;
2018/08/05 00:00:47;null;null;null;null;null;null;null;null;
2018/08/05 00:01:07;0;0;0;0;;;;;
2018/08/05 00:01:09;;;;;0;0;0;0;
2018/08/05 21:01:46;;;275;;;;;;
2018/08/05 21:28:43;;;0;;;;;;
2018/08/06 00:00:36;null;null;null;null;null;null;null;null;
2018/08/06 00:01:02;0;0;0;0;;;;;
2018/08/06 00:01:02;;;;;0;0;0;0;
2018/08/06 14:50:40;null;null;null;null;null;null;null;null;
2018/08/06 14:51:51;0;0;0;0;;;;;
2018/08/06 14:51:51;;;;;0;0;0;0;
2018/08/06 14:58:24;;;;;;;356;;
2018/08/06 14:59:24;;;;;;;0;;
2018/08/06 17:37:11;;;;;null;null;null;null;
2018/08/06 17:37:12;null;null;null;null;;;;;
2018/08/06 17:40:55;;;;;0;0;0;0;
2018/08/06 17:40:57;0;0;0;0;;;;;
2018/08/07 00:00:37;null;null;null;null;;;null;null;
2018/08/07 00:00:37;;;;;null;null;;;
2018/08/07 00:00:58;0;0;0;0;;;;;
2018/08/07 00:01:00;;;;;0;0;0;0;
2018/08/07 06:46:23;;;;;;;275;;
2018/08/07 07:12:51;;;;;;;0;;
2018/08/07 16:47:58;null;null;null;null;null;null;null;null;
2018/08/07 17:09:17;0;0;0;0;;;;;
2018/08/07 17:09:18;;;;;0;0;0;0;
2018/08/07 18:57:26;null;null;null;null;null;null;null;null;
2018/08/07 19:03:34;0;0;0;0;;;;;
2018/08/07 19:03:34;;;;;0;0;0;0;
2018/08/08 00:00:47;null;null;null;;;;null;;
2018/08/08 00:00:47;;;;null;null;null;;null;
2018/08/08 00:01:08;0;0;0;0;;;;;
2018/08/08 00:01:09;;;;;;;0;0;
2018/08/08 00:01:14;;;;;0;0;;;
2018/08/08 11:55:15;;;;;;null;;;
2018/08/08 12:23:47;;;;;;0;;;
2018/08/08 12:39:00;;;;;;;275;;
2018/08/08 13:06:17;;;;;;;0;;
2018/08/08 19:15:56;;275;;;;;;;
